league,season,team,age,Playing Time_born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
FRA-Ligue 1,2223,Lyon,714,0,559,418,37538,417.0,63,45,108,57,6,8,61,3,62.0,55.199999999999996,45.6,100.9,709,1883,1868,3.35,2.86,6.22,3.17,6.04,3.92,2.85,6.72,3.72,6.5
FRA-Ligue 1,2223,Marseille,765,0,581,418,37520,417.0,61,38,99,55,6,7,63,4,66.7,61.1,47.3,108.3,759,1919,1895,5.33,3.5100000000000002,8.86,5.0200000000000005,8.57,5.6,4.42,10.02,5.35,9.780000000000001
FRA-Ligue 1,2223,Monaco,631,0,573,418,37391,415.6,69,47,116,64,5,8,64,5,62.99999999999999,56.599999999999994,42.5,99.10000000000001,719,1820,1802,6.06,2.5100000000000002,8.57,5.85,8.36,6.09,2.84,8.92,5.83,8.65
FRA-Ligue 1,2223,Montpellier,768,0,588,418,37338,414.8,64,41,105,57,7,7,68,10,53.099999999999994,47.5,34.7,82.3,556,1250,1243,7.57,2.1,9.7,7.319999999999999,9.44,3.37,1.94,5.3100000000000005,3.18,5.12
FRA-Ligue 1,2223,Nantes,741,0,594,418,37515,416.9,35,27,62,32,3,5,65,4,43.8,39.9,32.1,72.1,705,1565,1547,1.72,1.47,3.2,1.62,3.1,3.13,2.61,5.72,2.99,5.59
FRA-Ligue 1,2223,Nice,804,0,580,418,37510,416.90000000000003,47,32,79,41,6,7,53,3,58.5,53.0,39.7,92.4,774,1534,1517,3.34,2.2,5.51,2.82,4.98,4.53,2.95,7.48,4.1,7.05
FRA-Ligue 1,2223,Paris S-G,649,0,567,418,37424,415.7,86,62,148,81,5,7,57,5,79.5,73.8,56.800000000000004,130.7,810,2029,2015,3.85,5.0200000000000005,8.88,3.63,8.66,4.11,3.85,7.94,3.89,7.72
FRA-Ligue 1,2223,Reims,750,0,580,418,37305,414.5,45,31,76,38,7,8,70,9,63.5,57.1,43.9,100.9,712,1717,1704,1.99,1.5,3.49,1.73,3.23,3.6,2.8000000000000003,6.38,3.37,6.15
FRA-Ligue 1,2223,Rennes,741,0,592,418,37594,417.5,66,47,113,63,3,3,56,5,62.9,60.5,46.1,106.6,773,1922,1906,5.02,3.54,8.54,4.9,8.42,5.71,3.57,9.26,5.62,9.17
FRA-Ligue 1,2223,Strasbourg,736,0,579,418,37415,415.5,48,28,76,43,5,7,73,7,49.3,43.6,32.2,75.6,610,1351,1340,5.0,2.5300000000000002,7.52,4.74,7.26,3.21,2.91,6.15,2.95,5.890000000000001
